theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Other,GOBP_RESPONSE_TO_FUNGUS,RESPONSE_TO_FUNGUS,GO:BP,1.94234573204699,0.513414195783922,0.00188965100639343,0.00188965100639343,54
Other,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Reactome,1.97114096054011,0.599606155724971,0.00215846477432582,0.00215846477432582,31
Other,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,INTRINSIC_PATHWAY_FOR_APOPTOSIS,Reactome,1.9093617976777,0.507335639781026,0.00226463605522708,0.00226463605522708,53
Interferon / antiviral,GOBP_RESPONSE_TO_INTERFERON_BETA,RESPONSE_TO_INTERFERON_BETA,GO:BP,1.93029240290655,0.582418827278547,0.00246185066509043,0.00246185066509043,32
Other,GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION,PROTEIN_DNA_COMPLEX_ORGANIZATION,GO:BP,1.66886274988203,0.369434725089427,0.00257780148156721,0.00257780148156721,155
Other,GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,PROTEIN_INSERTION_INTO_MEMBRANE,GO:BP,1.88323790987726,0.474128351443538,0.00263186819912219,0.00263186819912219,66
Other,GOBP_DENDRITIC_CELL_MIGRATION,DENDRITIC_CELL_MIGRATION,GO:BP,1.96677979598482,0.587168716059223,0.00320070444392133,0.00320070444392133,33
Other,GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,GO:BP,1.98885990694364,0.647172769603844,0.00326098950500775,0.00326098950500775,22
Other,GOBP_MACROAUTOPHAGY,MACROAUTOPHAGY,GO:BP,1.46549766918031,0.292460680030577,0.00336163172782395,0.00336163172782395,364
RNA processing / translation,GOBP_MITOCHONDRIAL_RNA_PROCESSING,MITOCHONDRIAL_RNA_PROCESSING,GO:BP,1.95099046251915,0.601022995627135,0.00374226388851999,0.00374226388851999,28
