pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,4,-1.12423450517736,1,-4.19649894768843,0.99998644636396,8.14805669896891e-06,26,GO:BP,1,3.78540352416182e-05,FALSE
GOBP_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT,4,-1.51913527870788,0,-4.19988813948792,0.999986647656033,0.000136061947776482,18,GO:BP,1,0.000483360618999168,TRUE
GOBP_CELL_FATE_COMMITMENT,4,-0.814441243014053,1,-4.20015783172836,0.999986663550987,1.01289681785433e-11,226,GO:BP,1,1.14028674187458e-10,FALSE
REACTOME_SENSORY_PROCESSING_OF_SOUND,4,-1.41175236124309,0,-4.20662694828417,0.999987039474934,0.000221809593514964,66,Reactome,1,0.000747332935862217,TRUE
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,4,-1.53433682735526,0,-4.20853595929154,0.999987148468519,0.00018726636700835,19,GO:BP,1,0.000642431733309456,TRUE
GOBP_PRESYNAPSE_ASSEMBLY,4,-1.05134017128011,1,-4.21219574630137,0.999987354988259,3.13850693045131e-08,38,GO:BP,1,2.25787679609458e-07,FALSE
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,4,-1.1627615507938,1,-4.21990860387553,0.999987779930979,1.99427716363523e-05,24,Reactome,1,8.40654725143871e-05,FALSE
KEGG_ERBB_SIGNALING_PATHWAY,4,-1.38877942391514,0,-4.22046578757199,0.999987810097176,0.000244973591621505,85,KEGG,1,0.000818688340388584,TRUE
GOBP_REGULATION_OF_OSSIFICATION,4,-0.935747200624854,1,-4.22701798116504,0.999988159562481,1.00270865212358e-10,112,GO:BP,1,9.8876965292366e-10,FALSE
GOBP_NEGATIVE_REGULATION_OF_GROWTH,4,-0.828567161222474,1,-4.2276822843217,0.999988194456349,4.25555292626308e-09,196,GO:BP,1,3.46163781190599e-08,FALSE
GOBP_MALE_GENITALIA_DEVELOPMENT,4,-1.11304353422032,1,-4.22957986555159,0.999988293592504,4.69871468264416e-08,16,GO:BP,1,3.26632463239236e-07,FALSE
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,4,-0.964442755801682,1,-4.23168622865345,0.999988402708333,6.11423427990492e-06,93,GO:BP,1,2.92822329065642e-05,FALSE
GOBP_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,4,-1.57158026924562,0,-4.23681637322459,0.999988664430207,0.000399916855138698,12,GO:BP,1,0.00127328740026544,TRUE
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION,4,-0.858991289066369,1,-4.24146337614901,0.999988896643504,3.34452139760084e-06,190,GO:BP,1,1.67785609581542e-05,FALSE
GOBP_RECEPTOR_CLUSTERING,4,-1.03226804463882,1,-4.24294704203067,0.999988969824593,1.30362306982839e-05,62,GO:BP,1,5.78007353828718e-05,FALSE
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,4,-1.55924440570267,0,-4.24335087339795,0.999988989663752,0.000499834235789188,16,GO:BP,1,0.00155318250282679,TRUE
GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT,4,-1.49425241144665,0,-4.24446238213669,0.99998904409397,8.46914677444219e-05,20,GO:BP,1,0.000313002584151233,TRUE
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,4,-1.54577537272144,0,-4.24457813642672,0.999989049747671,0.00040077701073291,16,Reactome,1,0.00127541048712253,TRUE
GOBP_MUSCLE_ADAPTATION,4,-1.38308695281069,0,-4.25046963501366,0.999989333862217,0.00022608093192396,96,GO:BP,1,0.000759783957158617,TRUE
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,4,-1.311261308238,0,-4.2506031590531,0.999989340219292,0.000313938434732938,164,GO:BP,1,0.00102375277011033,TRUE
REACTOME_PHASE_0_RAPID_DEPOLARISATION,4,-1.46076819299821,0,-4.25572862863899,0.999989581534216,4.13148751698593e-05,28,Reactome,1,0.000162913467720001,TRUE
GOBP_MEMORY,4,-0.934706205236455,1,-4.26133213105524,0.999989839401688,3.23139419777745e-07,118,GO:BP,1,1.94502805864396e-06,FALSE
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,4,-1.36027141249086,0,-4.26792884841022,0.999990135188432,0.000120002615277505,102,Reactome,1,0.000431185867639269,TRUE
