rank,gene,gene_types,logFC,direction,SE,P,FDR,FDR_lncRNA,I2,I2_flag,k,k_flag,confidence
217,RP11-54A4.2,antisense,-0.429475270813236,down_in_PP,0.127181182705386,0.000733137004725836,0.00271275661659628,0.00300121458793632,35.8489248649806,low,4,all4,A_high
218,RP1-12G14.7,antisense,-0.427920782220785,down_in_PP,0.104316242812627,4.09330338978583e-05,0.000214660743994167,0.000237422570611304,39.5129547069267,low,4,all4,A_high
219,RP11-48B3.4,lincRNA,-0.42782441426544,down_in_PP,0.124523555334133,0.000591045446816124,0.00224742542681015,0.00249507673012036,3.09003203415447,low,3,k3,A_high
220,RP5-855D21.3,sense_intronic,-0.42713401738773,down_in_PP,0.111624254188464,0.000129960142506631,0.000595876526070469,0.000654642068249351,0,low,3,k3,A_high
221,RP11-218L14.4,antisense,-0.426593084234479,down_in_PP,0.123452442874098,0.000549220910171477,0.0021091900782589,0.0023390540140866,17.1099686070524,low,4,all4,A_high
222,GS1-124K5.4,lincRNA,-0.424237243799538,down_in_PP,0.125665606327287,0.000735688607013049,0.00272145060796473,0.00300881342395601,30.1940561289056,low,4,all4,A_high
223,RP11-485O10.2,antisense,0.423558559828105,up_in_PP,0.111805456964209,0.000151649160883675,0.000680994673009615,0.000746514128718614,0,low,3,k3,A_high
224,RP11-49I4.3,antisense,-0.423506932408955,down_in_PP,0.0907059360630775,3.0265448828954e-06,2.05503299526211e-05,2.3106237801445e-05,0,low,4,all4,A_high
225,CTC-471J1.8,processed_transcript,-0.421529504125928,down_in_PP,0.0446640546574701,3.80762234702444e-21,1.56437100428076e-19,1.85118897703087e-19,0,low,4,all4,A_high
226,CTB-33G10.11,antisense,-0.420647461108857,down_in_PP,0.0779327724513246,6.75501670911703e-08,6.33586185493604e-07,7.21702649391343e-07,0,low,3,k3,A_high
227,RP11-23N2.4,antisense,0.419643810779808,up_in_PP,0.0481277107794633,2.79728662865176e-18,8.82942033844716e-17,1.02575078323527e-16,0,low,4,all4,A_high
