lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
RP11-180C16.1,-0.516249498340435,down_in_PP,0.0004061150766928,87.5965579525389,4,C_significant_but_flagged,-0.239542514643386,0.0003106657794069,4.0,-0.67,-0.251,0.73,-0.35,8.0,3.0,9.0,4.0,False
RP11-127B20.3,-0.51592461057116,down_in_PP,6.50553949282195e-05,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AC005932.1,0.515050304275162,up_in_PP,0.0001226974857779,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
ATP2A1-AS1,0.514185465837815,up_in_PP,0.0002073575457163,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AC002116.7,-0.512902756177327,down_in_PP,0.0038733241639556,25.0602908002686,2,C_significant_but_flagged,,,,,,,,,,,,False
RNU12,0.512476364083974,up_in_PP,0.0144993312430675,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
CTD-2540L5.5,0.512285168273427,up_in_PP,1.24046712647948e-07,79.396079709682,4,C_significant_but_flagged,0.199291009739699,0.0033644205086878,4.0,0.459,0.328,0.314,-0.245,9.0,4.0,8.0,5.0,False
RP11-635N19.3,-0.512191327457904,down_in_PP,0.0054594940740881,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-266J6.2,-0.510236638042193,down_in_PP,0.0419964348455182,82.6906433904785,3,C_significant_but_flagged,-0.166015251414132,0.0180163810297837,3.0,-0.38,-0.231,0.562,,7.0,2.0,7.0,,False
RP11-53B2.3,-0.509246471603219,down_in_PP,0.0235201405419198,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AC008746.12,-0.50677450128645,down_in_PP,0.0044755582625583,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
CTD-3099C6.11,-0.504537094839358,down_in_PP,7.18396098314386e-05,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-156K23.3,-0.504524422077871,down_in_PP,0.0181231467906898,84.6277147342246,4,C_significant_but_flagged,0.0426193184043279,0.602689841322923,4.0,,-0.163,-0.149,0.324,,3.0,1.0,1.0,False
RP11-1035H13.2,-0.503354154271308,down_in_PP,0.0381023464726392,92.1747735853837,4,C_significant_but_flagged,-0.0272712703032405,0.749935532300078,4.0,-0.405,,0.373,-0.168,4.0,,4.0,4.0,False
GNG12-AS1,-0.501604306168768,down_in_PP,0.0146877547113038,89.3574594942949,4,C_significant_but_flagged,-0.246202254722272,0.0001994287465591,4.0,-0.43,-0.34,0.368,-0.386,7.0,3.0,7.0,5.0,False
AC002454.1,-0.501235359908699,down_in_PP,0.0002878839631807,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP13-514E23.2,-0.500758088157444,down_in_PP,0.0155113382024242,81.1123896607533,4,C_significant_but_flagged,-0.256239862086062,9.9493486111406e-05,4.0,0.323,-0.251,0.467,-0.262,8.0,3.0,7.0,4.0,False
SGMS1-AS1,-0.499835861007691,down_in_PP,0.0137831232284504,89.181469803568,4,C_significant_but_flagged,-0.252447764644196,0.0001300679655727,4.0,-0.555,-0.452,0.482,-0.409,7.0,3.0,6.0,7.0,False
