"gene","logFC","SE","P","I2","k","FDR"
"CARHSP1",1.31946243921333,0.30384418751881,1.40830267126569e-05,93.317161841841,4,6.99677407066788e-05
"PPP2R5C",-0.132635369675653,0.0305495548033561,1.41418893079455e-05,13.7897932255654,4,7.02461485280409e-05
"RP11-513D5.5",-0.373837891094405,0.0861187622142304,1.41863130710304e-05,0,3,7.04527383311848e-05
"EEF1A1P9",-0.370761933754514,0.0854232354196409,1.42292378456934e-05,53.2698250646025,4,7.06518027697706e-05
"MAGOHB",0.290891990603595,0.0670307697396815,1.4269131824282e-05,48.4141239630994,4,7.08357420528242e-05
"HKDC1",-0.619742195665592,0.142830674706102,1.43132987246537e-05,0,2,7.10408155862751e-05
"RP4-625H18.2",-1.07621320909097,0.248049588448983,1.43326806787342e-05,84.4517280253602,3,7.11228173533036e-05
"GAS6-AS2",-0.769769041224643,0.177430172526006,1.43501755731166e-05,65.4646758934017,4,7.1195424142282e-05
"AC005614.5",0.493870799324323,0.113838466863268,1.43558209431855e-05,76.1219749556685,4,7.12092247303512e-05
"TRHDE-AS1",-1.95543930131583,0.450902242649253,1.44620979452555e-05,60.7845558920917,4,7.17220836670769e-05
"MED31",0.417400372200441,0.0962562985220266,1.44872504058439e-05,81.7333435090588,4,7.1830182197587e-05
"CDH3",1.32098139860842,0.304632832893605,1.44896724001889e-05,91.6772992639367,4,7.1830182197587e-05
"RP11-593F23.1",-1.19177299222213,0.274849713108552,1.45039818180905e-05,64.1788573861165,3,7.18867873009048e-05
"ZNF836",-0.527983325590314,0.121769717984846,1.45154062723845e-05,80.2752502325156,4,7.19290738081132e-05
"EPRS",0.414684701916451,0.0956426315947411,1.45249040461367e-05,79.4950742218892,4,7.1961797969961e-05
"CD207",-1.07587839434453,0.248149467754639,1.45358911069095e-05,72.1530999991167,3,7.20018861084485e-05
"GPATCH4",0.61653737245516,0.142226240248558,1.45822466206775e-05,80.679356441361,4,7.22138823280202e-05
"SLC44A4",-0.490629643361298,0.113182037670186,1.45844975891304e-05,0,3,7.22138823280202e-05
"CTA-276F8.1",-0.715505589886301,0.165064449489804,1.45956138976223e-05,25.6720519483576,4,7.22545361692767e-05
