gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
LCE5A,ENSG00000186207,late cornified envelope 5A,Unclassified,-2.931,1.1802187389635899e-123,down,57,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
LINC01206,ENSG00000242512,long independently transcribed non-coding RNA 1206,Unclassified,5.227,3.00765594380137e-142,up,19,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
LTB4R,ENSG00000213903,leukotriene B4 receptor,Membrane receptor,1.377,2.36205660980027e-19,up,1248,0,False,False,Advanced clinical,5,True,True,False,False,True,False,4,CHEMBL3911,375,524
LTF,ENSG00000012223,lactotransferrin,Enzyme,5.7,1.1125379734746e-107,up,14,1,True,False,Discovery precedence,3,True,False,True,False,False,False,0,CHEMBL4523161,0,0
MEFV,ENSG00000103313,"MEFV innate immunity regulator, pyrin",Unclassified protein,2.321,3.06491001575465e-78,up,74,1,True,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL6196061,0,0
MMP1,ENSG00000196611,matrix metallopeptidase 1,Enzyme,3.206,0.0108891679622064,up,304,1,False,True,Approved drug,6,True,True,False,True,True,False,4,CHEMBL332,971,1818
MMP12,ENSG00000262406,matrix metallopeptidase 12,Enzyme,5.339,1.65261179448983e-73,up,28,1,True,False,Advanced clinical,5,True,True,True,False,False,False,3,CHEMBL4393,408,594
MMP9,ENSG00000100985,matrix metallopeptidase 9,Enzyme,1.787,0.0061697067256682,up,290,2,True,True,Advanced clinical,5,True,True,True,False,True,True,5,CHEMBL321,1809,2434
NMI,ENSG00000123609,N-myc and STAT interactor,Unclassified,1.483,6.37351461436693e-195,up,18,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
NOS2,ENSG00000007171,nitric oxide synthase 2,Enzyme,5.196,8.03807898512038e-38,up,27,2,True,True,Advanced clinical,5,True,True,True,False,True,False,4,CHEMBL4481,260,571
NR4A3,ENSG00000119508,nuclear receptor subfamily 4 group A member 3,Transcription factor,2.064,9.11487027608514e-46,up,144,1,True,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL1961792,5,7
OAS1,ENSG00000089127,2'-5'-oligoadenylate synthetase 1,Unclassified,2.471,1.03133080979122e-48,up,126,1,False,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
OAS2,ENSG00000111335,2'-5'-oligoadenylate synthetase 2,Unclassified,3.923,9.68301772299363e-24,up,118,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
PARK2,ENSG00000185345,parkin RBR E3 ubiquitin protein ligase,Unclassified,-1.427,4.27941540054152e-123,down,81,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
PARP14,ENSG00000173193,poly(ADP-ribose) polymerase family member 14,Enzyme,1.646,4.42276984262394e-66,up,134,1,True,False,Discovery precedence,3,True,True,True,False,False,False,0,CHEMBL2176777,27,83
PGLYRP4,ENSG00000163218,peptidoglycan recognition protein 4,Unclassified,1.643,3.4459768459786e-105,up,102,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
PI3,ENSG00000124102,peptidase inhibitor 3,Unclassified,6.611,0.0002857215676403,up,59,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
PLA2G2A,ENSG00000188257,phospholipase A2 group IIA,Enzyme,1.037,0.0049957815808664,up,344,2,True,True,Advanced clinical,5,True,True,True,False,True,False,2,CHEMBL3474,149,288
PLA2G2F,ENSG00000158786,phospholipase A2 group IIF,Enzyme,2.142,4.41697869760966e-145,up,52,0,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL4278,3,8
PLA2G4D,ENSG00000159337,phospholipase A2 group IVD,Enzyme,4.104,9.11521644331468e-32,up,105,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL2287,0,0
PLBD1,ENSG00000121316,phospholipase B domain containing 1,Unclassified,2.05,5.9771883078659605e-173,up,26,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
PLK1,ENSG00000166851,polo like kinase 1,Enzyme,1.408,2.19308852825916e-05,up,325,2,False,True,Advanced clinical,5,True,True,True,False,True,False,8,CHEMBL3024,751,1118
PM20D1,ENSG00000162877,peptidase M20 domain containing 1,Unclassified,-4.895,1.81120987937024e-21,down,124,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
PRSS27,ENSG00000172382,serine protease 27,Enzyme,4.192,6.32626527804343e-223,up,6,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL6196117,0,0
RDH16,ENSG00000139547,retinol dehydrogenase 16,Unclassified,2.383,6.58297841634332e-172,up,16,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
REN,ENSG00000143839,renin,Enzyme,3.423,2.36356916688984e-38,up,83,1,False,True,Approved drug,6,True,True,True,False,True,False,4,CHEMBL286,3205,4029
RORA,ENSG00000069667,RAR related orphan receptor A,Transcription factor,-1.015,7.45895635608652e-05,down,2186,0,False,False,Discovery precedence,3,True,True,False,True,True,False,0,CHEMBL5868,5,21
RORC,ENSG00000143365,RAR related orphan receptor C,Transcription factor,-2.473,9.30744833846091e-227,down,7,1,False,True,Phase 1,4,True,True,True,False,True,False,0,CHEMBL1741186,9766,14698
RRM2,ENSG00000171848,ribonucleotide reductase regulatory subunit M2,Enzyme,1.937,4.56239493658658e-06,up,570,1,False,False,Approved drug,6,False,False,False,False,True,False,10,CHEMBL1954,0,4
S100A12,ENSG00000163221,S100 calcium binding protein A12,Unclassified,8.802,1.63741833874838e-81,up,4,1,True,False,Druggable pocket,2,False,False,True,False,False,False,0,,0,0
S100A7,ENSG00000143556,S100 calcium binding protein A7,Unclassified,8.11,4.98670435214668e-60,up,13,1,False,False,Discovery precedence,3,True,False,False,True,False,False,0,,0,0
S100A7A,ENSG00000184330,S100 calcium binding protein A7A,Unclassified,9.923,9.35816208285372e-24,up,10,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
S100A8,ENSG00000143546,S100 calcium binding protein A8,Unclassified protein,7.763,3.78048122419265e-22,up,31,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5725128,0,0
S100A9,ENSG00000163220,S100 calcium binding protein A9,Unclassified protein,7.94,3.01369564684045e-21,up,5,3,True,True,Discovery precedence,3,True,True,False,False,False,False,0,CHEMBL4296265,2,17
SCEL,ENSG00000136155,sciellin,Unclassified,-1.765,1.38714650782959e-93,down,137,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SEC14L6,ENSG00000214491,SEC14 like lipid binding 6,Unclassified,-4.161,6.68562675354573e-42,down,125,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SERPINA12,ENSG00000165953,serpin family A member 12,Unclassified,-2.378,8.32917123824343e-115,down,62,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SERPINB11,ENSG00000206072,serpin family B member 11,Unclassified,6.244,7.17856052658332e-38,up,39,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SERPINB3,ENSG00000057149,serpin family B member 3,Unclassified,6.342,8.32960547693203e-38,up,38,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SERPINB4,ENSG00000206073,serpin family B member 4,Unclassified,8.73,4.21349401198297e-17,up,22,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SLC26A9,ENSG00000174502,solute carrier family 26 member 9,Transporter,2.979,1.38615889149751e-94,up,49,1,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4523359,0,0
SLC46A2,ENSG00000119457,solute carrier family 46 member 2,Unclassified,-2.282,3.704350987086e-91,down,132,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SLC6A14,ENSG00000268104,solute carrier family 6 member 14,Unclassified protein,4.324,2.80762245799215e-26,up,99,1,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL4680044,0,0
SOCS3,ENSG00000184557,suppressor of cytokine signaling 3,Unclassified,2.163,2.29647935138402e-23,up,131,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0
SPINK1,ENSG00000164266,serine peptidase inhibitor Kazal type 1,Unclassified,-3.964,2.5433931362944e-84,down,65,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SPRR2A,ENSG00000241794,small proline rich protein 2A,Unclassified,8.786,7.32372689048778e-20,up,20,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SPRR2B,ENSG00000196805,small proline rich protein 2B,Unclassified,7.012,9.13960058596247e-11,up,45,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SPRR2C,ENSG00000229035,small proline rich protein 2C (pseudogene),Unclassified,5.969,0.0004218000838843,up,66,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
