"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP049599","SRR1644017","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644018","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644019","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644020","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644024","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1643960","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643961","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643962","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643963","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643964","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643965","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643966","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643967","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643968","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643969","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643970","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643971","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643972","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540461: CO1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540461"
"SRP049599","SRR1643973","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540462: CO2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540462"
