"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"TSLP",1.02998409275138,-0.358197407484185,7.98750409804531,1.5498220796478e-13,5.26729055973415e-13,7.02288954845052e-14,19.9738230799505
"PPP1R1A",-1.24533175676478,1.74122624038749,-7.98090659234682,1.61233611029756e-13,5.47368582884132e-13,7.29807679354822e-14,19.6211230614894
"SORCS3",-1.19912182373512,-1.76161005965838,-7.98071965014978,1.61414338355156e-13,5.4790629548509e-13,7.30524612693227e-14,20.0990572839972
"STRCP1",-1.05955185783593,-1.07995711560396,-7.97706371715948,1.649893412319e-13,5.59808903269613e-13,7.46394384611307e-14,19.9956552335238
"HEPACAM",-1.72302624110803,-1.59829092028408,-7.97691379590348,1.6513760599753e-13,5.60234467483737e-13,7.46961790270378e-14,20.0615048291887
"FAM129C",1.52429120525552,-1.57757335743688,7.97366577170523,1.68382342590544e-13,5.70926472084721e-13,7.6121746242529e-14,20.057768968637
"CTC-455F18.1",-1.25060711426912,-1.22079463983216,-7.97114388014725,1.70945164368848e-13,5.79295798789597e-13,7.72376303270821e-14,19.9795100390074
"CHRNA2",-2.13575430439352,-2.04709332043681,-7.96873301784564,1.73431265631578e-13,5.87271821733765e-13,7.83010751387469e-14,20.0641883149216
"ZNF385B",-1.3756693973805,-0.786679202981499,-7.95505396425728,1.88230468650634e-13,6.3646497588403e-13,8.4860008697078e-14,19.8286893333779
"TREM1",1.79617300688963,-1.04751561216295,7.94192786464034,2.03605202616536e-13,6.86747581102638e-13,9.1564198994802e-14,19.8154506971196
"TRIM58",1.37069001488247,-0.556939641815365,7.94140549609797,2.04242139007563e-13,6.88801207971608e-13,9.18380094958735e-14,19.7378645324445
"SLC16A12",-1.02337506894785,-0.815396897090935,-7.93832450604846,2.08039210014818e-13,7.0122107231599e-13,9.34939526132727e-14,19.7320091549826
"SCN4A",-1.28703986057892,-0.160345652943638,-7.93589965782483,2.11076734103077e-13,7.11263928297881e-13,9.48329687072582e-14,19.6274087488772
"SPSB4",-1.26388313557726,-1.78752838367073,-7.93195887093968,2.1610718803777e-13,7.27615251639042e-13,9.70130940770986e-14,19.8154705428998
"LONRF3",-1.00535019187498,-0.0760675059971762,-7.92573146430582,2.24299640120364e-13,7.5437015945047e-13,1.00580331545922e-13,19.5520235512714
"ANKRD20A19P",-1.82651512672734,-2.00655820205929,-7.92219475364645,2.29088526042966e-13,7.69842905436617e-13,1.02643316012787e-13,19.784363726474
"CYP2B7P",-1.65580180541942,-2.3881000480426,-7.92204391597799,2.29295003985886e-13,7.70325689325547e-13,1.02707685689934e-13,19.8183391813182
"RP3-512E2.2",-1.00585831515704,-1.74007564490724,-7.9210568665077,2.30650708048252e-13,7.74668022320626e-13,1.03286649858726e-13,19.7454849311976
"AGT",-1.75080315775579,0.982433764765833,-7.92030530276347,2.3168829513344e-13,7.7793983614415e-13,1.03722881481894e-13,19.3761301963913
"LVRN",-1.04452382079636,1.68388099162204,-7.92014882118777,2.31904909782313e-13,7.78560584059757e-13,1.03805645931649e-13,19.2679459166889
"ZIC2",1.06379897462367,-1.61004956796799,7.91996495085437,2.32159694510072e-13,7.79309290672375e-13,1.03905471141308e-13,19.7383315479882
"FLG",-1.30028692867647,11.2106309261838,-7.91942879683769,2.32904214144836e-13,7.81594549807709e-13,1.04210165221026e-13,18.9452234507855
"MAPT-AS1",-1.14733007201801,-1.5718525764561,-7.91578840516362,2.38022284186877e-13,7.98224034254269e-13,1.06427377869378e-13,19.6959280589381
"FOXA1",-1.6680597045957,0.673694478977662,-7.90970887156966,2.46819041305341e-13,8.2693313005565e-13,1.10255167632682e-13,19.3574655146558
"SCGB1D2",-1.92610994680197,4.20410018317625,-7.90281724238188,2.57180685066422e-13,8.6023835310367e-13,1.14695760005557e-13,18.8911305323585
"MB",-1.31739529752557,0.0150659720178044,-7.90259105670836,2.57527961029337e-13,8.6116507540935e-13,1.14819320084901e-13,19.4063363667597
"ROS1",-3.9522771429607,-1.12334738779024,-7.88228588664028,2.90671980814172e-13,9.69486312946698e-13,1.29261813399997e-13,19.4964432746139
"AC087491.2",-1.33596612456435,-2.44938771113994,-7.86935460274892,3.13946331843427e-13,1.04498244367697e-12,1.39327728341299e-13,19.5144271622072
"KRT18P34",1.12248321757856,-1.31291216847731,7.86917756566096,3.1427744887527e-13,1.04594264125002e-12,1.3945575168506e-13,19.407370198126
"CD1B",1.05159357585909,1.14160249315763,7.86140836828068,3.29154022627705e-13,1.09367242847634e-12,1.45819574224564e-13,19.0105276511525
"RP11-429A20.3",-1.50087229277065,-2.50830594467895,-7.84282195596386,3.67632603339056e-13,1.21658020705618e-12,1.62206894115555e-13,19.3654847716111
"MALRD1",-1.40484315412154,-2.66412819407988,-7.83868092073179,3.7679447132434e-13,1.24555455426461e-12,1.66070049904583e-13,19.3540705028447
"APELA",1.18450597064524,0.295097524186032,7.82562997736558,4.07173708253358e-13,1.34326250383838e-12,1.79097471309959e-13,18.9290290604231
"CTD-2619J13.23",-1.15501115590172,-1.74928504307843,-7.82319684679728,4.1309983967193e-13,1.36262948728794e-12,1.81679675274416e-13,19.1745572990129
"AC006129.2",1.25946051188165,-2.09363041842093,7.82101581753671,4.18484482734308e-13,1.38001981614777e-12,1.83998331467933e-13,19.2131191391959
"FAM41C",-1.16246225139076,-1.95454029502179,-7.82080343674134,4.19012517803186e-13,1.38157535107898e-12,1.84205731266497e-13,19.1829210262972
"TRBV2",1.41268183566213,-2.4221651683727,7.81988924703718,4.21292976664795e-13,1.38872115732215e-12,1.85158483111326e-13,19.23832144082
"RP11-893F2.18",-1.16898558452497,-2.48153821637118,-7.81177750913142,4.42073592412708e-13,1.45487469135904e-12,1.93978747676419e-13,19.1815124612127
"MMP16",-1.10597294563777,1.72385833739337,-7.80979723550576,4.47298835214609e-13,1.47147878623175e-12,1.96192575127566e-13,18.6143355290042
"CHST8",-1.2363687322329,-2.34133572907156,-7.79902231116182,4.76819860538367e-13,1.56649310732455e-12,2.08860854482738e-13,19.0948593480457
"KRT18",-1.10625491540667,3.75811213434546,-7.79726353412294,4.81818318742217e-13,1.58185513614096e-12,2.10909077006145e-13,18.3004316861781
"GDNF-AS1",-1.35247631023485,-1.82755976590676,-7.7937215682711,4.92042554991771e-13,1.6145578312827e-12,2.1526933420693e-13,19.0123318554781
"HRCT1",-1.44156305789506,1.21289285813689,-7.78800570209199,5.08996728786761e-13,1.66862760808362e-12,2.22478468885869e-13,18.5600691045254
"MROH2A",-1.5163245917311,-2.20066365061134,-7.7866848297432,5.12996174069083e-13,1.68128943847761e-12,2.24166673387401e-13,19.0109302246463
"MDGA2",-1.02031809071497,-1.40284230529527,-7.76951165341328,5.67914575489843e-13,1.85458776562573e-12,2.47272575685563e-13,18.8207846477833
"RP11-301L8.2",-1.12823532913262,-2.28889935545807,-7.76763571964756,5.74255400560625e-13,1.87404689528353e-12,2.49867065523287e-13,18.9073758547547
"UNC5C",-1.11272581822015,-0.417308751461539,-7.76480329957937,5.83962239978484e-13,1.90445762826649e-12,2.53921734928833e-13,18.6596268995862
"GALR2",1.48760778252021,-2.32414564123095,7.76452070067503,5.84939584456237e-13,1.90713786089892e-12,2.54279090907742e-13,18.9094985386489
"RP4-736L20.3",1.2566365254103,-2.00092871416798,7.75883916386273,6.04935773870275e-13,1.97049995504517e-12,2.62727172206869e-13,18.842587869219
"CTD-2619J13.3",-1.06819856666126,-2.48852429880771,-7.75009439080118,6.37042545476169e-13,2.07150729887836e-12,2.76194502540716e-13,18.8240843394854
"BMPER",1.45743723170017,-0.20074037526311,7.74993936692241,6.37626675501328e-13,2.0731319057127e-12,2.76411111710607e-13,18.5686721498782
"RP11-64C12.1",-2.03427093662573,-2.71522687123381,-7.73966055932585,6.77563480491326e-13,2.20122874827699e-12,2.93490290590757e-13,18.7846671986238
"CAPN8",-1.20730483266821,-0.342508775838605,-7.73655559320532,6.90107150781744e-13,2.24108939419762e-12,2.98804918869867e-13,18.4853966404255
"RP11-403I13.5",-1.06420166351121,-2.33447526465012,-7.72864189372374,7.23126361906384e-13,2.34552279884155e-12,3.1272904661003e-13,18.685674437569
"PLIN4",-1.6634126189604,5.64299503168326,-7.70890885340243,8.1242664413328e-13,2.62683900966268e-12,3.50236995988945e-13,17.6603719826791
