statistic,source,condition,score,p_value,padj,rank,axis
ulm,ZFP42,PPvsNN,0.95413235874251,0.340026051879907,0.587026108434179,248,FALSE
ulm,PLAGL2,PPvsNN,0.939940642904971,0.347257265205414,0.596695582465641,249,FALSE
ulm,DNMT3A,PPvsNN,0.930695942785842,0.352020029567168,0.601008102837455,250,FALSE
ulm,HLX,PPvsNN,0.927122116922037,0.35387225727178,0.601008102837455,251,FALSE
ulm,PRDM2,PPvsNN,0.910357608944235,0.362642892600299,0.61264174133263,252,FALSE
ulm,NKX2-1,PPvsNN,0.895850113510272,0.370341613062486,0.618927079364702,253,FALSE
ulm,RUNX3,PPvsNN,0.857275208532462,0.391301182866183,0.640788514223816,254,FALSE
ulm,MECP2,PPvsNN,0.839733144871992,0.401066210908805,0.652401036411655,255,FALSE
ulm,ZNF148,PPvsNN,0.832720006915892,0.405010766766404,0.655902392196919,256,FALSE
ulm,ZNF395,PPvsNN,0.81767201586047,0.413552436926717,0.665319524901884,257,FALSE
ulm,HMGA2,PPvsNN,0.813973678845859,0.415667932321771,0.665872451821212,258,FALSE
ulm,ZBED1,PPvsNN,0.806205814186102,0.420132003682019,0.669738944025095,259,FALSE
ulm,TSC22D1,PPvsNN,0.805444624013285,0.420570958105659,0.669738944025095,260,FALSE
ulm,NFYB,PPvsNN,0.798225180647338,0.424747556081151,0.671523134020309,261,FALSE
ulm,NAB2,PPvsNN,0.783794602215602,0.43316821073362,0.683360194519417,262,FALSE
ulm,CAMTA1,PPvsNN,0.774811016734212,0.438458808055227,0.687463865327522,263,FALSE
ulm,CDX2,PPvsNN,0.769363372440336,0.441685035180539,0.689487552597138,264,FALSE
ulm,ATOH1,PPvsNN,0.762981518466181,0.445481756324005,0.690964826022602,265,FALSE
ulm,ZNF202,PPvsNN,0.762950127471944,0.445500477450802,0.690964826022602,266,FALSE
ulm,MAX,PPvsNN,0.744181197773245,0.456773991051802,0.702906873114389,267,FALSE
ulm,GRHL3,PPvsNN,0.740870200157568,0.458779238441326,0.702906873114389,268,FALSE
