"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"B9D1",0.0586015401567827,2.03190816766994,0.928497761912019,0.35438586193556,0.396317356287672,0.0528410762189415,-7.37169434063294
"FGFR1OP2",-0.0491644504778152,4.29695531667782,-0.928493649701764,0.3543879882362,0.396317356287672,0.0528410762189415,-7.64682124060678
"RP11-308N19.5",-0.094455098758713,-1.20792875693037,-0.927849928751756,0.354720937219623,0.396671612479389,0.0528883092712683,-6.81134799620802
"RPL21P116",-0.161027993754146,-2.06474396724512,-0.927725488239699,0.354785324005953,0.39672552665685,0.0528954976598547,-6.6581084609008
"ABHD17AP1",0.0748341069899331,3.53949440113482,0.927353472362438,0.35497785316662,0.396893905129395,0.0529179475969068,-7.56657555352217
"RPL26P37",-0.120966578567897,-0.367090939578295,-0.927341253559915,0.354984177884082,0.396893905129395,0.0529179475969068,-6.97210555069089
"RPL14P3",0.0930100320705163,0.977394899472917,0.927340735646215,0.354984445969042,0.396893905129395,0.0529179475969068,-7.21340565694985
"AGAP5",-0.0907334162931695,1.49275799655276,-0.927236926248114,0.355038182886133,0.396935892694794,0.052923545807806,-7.29579741060832
"HNRNPA1P7",0.0429874373499948,6.50050178563444,0.926197876091723,0.35557633222975,0.397519429212912,0.0530013488541305,-7.75130809231358
"RP11-73M18.7",-0.0490676988476208,2.21040088750473,-0.926056173435548,0.355649763664463,0.397583401082993,0.0530098782369828,-7.39952571066848
"TERF2",-0.0229052178173291,4.58273898259026,-0.925974165055614,0.355692265459955,0.397612792234152,0.05301379696533,-7.67453890874574
"YIPF7",0.0829875078615255,-0.547515122665382,0.925722110506887,0.355822915878242,0.397740713697376,0.0530308527608458,-6.93645915073885
"E4F1",-0.07717853783255,4.20116655180464,-0.925330756796694,0.356025831346175,0.397949398070497,0.0530586766920738,-7.64064525071873
"DDX6P2",0.0877047658681045,0.44240578432018,0.924469651076498,0.35647257048111,0.398430585954007,0.0531228335734841,-7.12598545560875
"RP11-135F9.3",-0.0512281607275975,2.04257093404635,-0.924364600097865,0.35652709499163,0.398473370361556,0.0531285380275142,-7.37786340701545
"AC005682.5",-0.110209137305458,0.862309907926904,-0.924196657980472,0.356614272838047,0.39855264428722,0.0531391076366463,-7.19917995421802
"RNVU1-7",0.357407034521807,-0.347635685338522,0.924046174133087,0.356692399695096,0.398621796050725,0.053148327655775,-6.97303152518156
"ACAN",0.127401277740069,1.12645305862471,0.923926827388401,0.356754368801199,0.398672885231938,0.0531551393870191,-7.24036328102211
"IFNLR1",-0.047696415954514,3.42819750428905,-0.923510248271331,0.356970725202163,0.398896489647319,0.0531849526106103,-7.55782519685194
"EAF2",0.0950000765623975,-0.133242754203996,0.922730021777856,0.357376171296077,0.399331362104241,0.0532429342464815,-7.01984502257441
"IFT88",0.0503876802831515,2.48028007955244,0.922665630161815,0.357409645569508,0.39935057336593,0.053245495688031,-7.43845999367586
"KIAA0753",-0.0586699011439573,2.87454352270176,-0.921893747690325,0.35781106710519,0.399774002183946,0.0533019515411273,-7.49120567485325
