gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
RP11-264B17.5,3,-0.364,0.186,-1.96,0.0500826857011569,0.091854955536429,0,0,0.13,down
ZFP91-CNTF,4,-0.174,0.089,-1.96,0.0500897830167804,0.0918593304437509,77.2,0.0206,13.18,down
CCDC7,4,0.406,0.207,1.96,0.0500921743186925,0.0918593304437509,82,0.1257,16.69,up
RP11-66B24.8,3,-1.838,0.938,-1.96,0.0501122915710478,0.0918897064298888,91.2,2.2762,22.82,down
RP11-863P13.4,2,0.251,0.128,1.96,0.050174206630332,0.0919967163112794,0,0,0.08,up
NOS1,4,0.531,0.271,1.96,0.0501840501069668,0.0920082421469192,77.4,0.1907,13.26,up
DNAJA4,4,0.311,0.159,1.96,0.050306054963514,0.0922253902449905,83.3,0.0693,17.98,up
RP11-413E6.11,2,0.802,0.41,1.96,0.0503397875551008,0.0922806907169272,77.1,0.2621,4.36,up
CTD-2002H8.2,3,0.283,0.145,1.96,0.0503766872620837,0.0923417887559555,0,0,0.34,up
YBX3,4,0.122,0.063,1.96,0.0503877217208448,0.0923554698170171,58,0.0071,7.15,up
RGS19,3,-0.143,0.073,-1.96,0.0504190326290507,0.0924063109352159,0,0,1.53,down
AC073834.3,3,0.222,0.113,1.96,0.0504398802348271,0.0924379694178111,0,0,1.78,up
GCN1,4,-0.193,0.099,-1.96,0.0504562351134817,0.0924613904616049,73.1,0.0204,11.14,down
RP11-563J2.3,2,0.482,0.246,1.96,0.0505087678169055,0.0925510995973393,0,0,0,up
RP3-512E2.2,3,0.693,0.354,1.96,0.0505149780670005,0.0925559218422288,60.7,0.2202,5.09,up
