pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_MONOCYTE_ACTIVATION,GO:BP,1.41136009172329,0.178125246906752,11,0.655369444735246,1.7115559599636,3,11,FALSE,FALSE
GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION,GO:BP,1.75367013961009,0.0287492726683481,19,0.164778477597013,2.31210191082803,7,19,TRUE,FALSE
GOBP_MONOCYTE_CHEMOTAXIS,GO:BP,1.39549382646325,0.118050505050505,46,0.426982662077329,1.50071210982316,11,46,FALSE,FALSE
GOBP_MONOCYTE_DIFFERENTIATION,GO:BP,0.890714439202598,0.71406972522643,38,0.65691649481654,1.32120109190173,8,38,FALSE,FALSE
GOBP_MONONUCLEAR_CELL_MIGRATION,GO:BP,1.64461292689899,0.00224787513886224,212,0.174986401862336,1.33210723299054,45,212,TRUE,FALSE
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,GO:BP,0.981050775448268,0.601128663940291,89,1,0.846162497060658,12,89,FALSE,FALSE
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,GO:BP,2.13279795284455,0.000114113598869353,53,0.610175830929717,1.3025048500352,11,53,TRUE,FALSE
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,GO:BP,1.34781595596039,0.0702578627712286,246,0.777355997263282,1.07146186111543,42,246,FALSE,FALSE
GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT,GO:BP,-1.16551373416068,0.259051026255905,103,0.594213709778933,1.21858353136567,20,103,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM,GO:BP,0.761733717597087,0.85449369380093,17,0.937040972683617,1.1074773858588,3,17,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD,GO:BP,-1.19829948458504,0.35027158376215,12,0.430749153033336,2.0919017288444,4,12,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD,GO:BP,-1.09615204930477,0.439376494439756,21,0.113957689073467,2.39074483296503,8,21,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET,GO:BP,1.09489560549965,0.424393623152055,59,1,0.638207307105073,6,59,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM,GO:BP,-1.3415581737616,0.00509295142446047,476,0.0348968295724342,1.31842545935572,100,476,FALSE,TRUE
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,GO:BP,-1.40990734832726,0.030184575375363,182,0.258146887647247,1.31031207191353,38,182,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,GO:BP,0.736425066507743,0.921343995510662,51,1,0.738318257239201,6,51,FALSE,FALSE
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM,GO:BP,-1.42687827317699,0.0480972966865556,141,0.831189429132839,1.06820513813331,24,141,FALSE,FALSE
