gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
FFAR2,2,1.464,0.094,15.64,3.99277382497856e-55,4.91930749836437e-53,0,0,0.01,up
MYO1G,2,1.043,0.067,15.57,1.1366042587257e-54,1.39302455981727e-52,0,0,0,up
COBL,3,-1.531,0.098,-15.55,1.47569677681582e-54,1.79919717960841e-52,54.4,0.0143,4.38,down
DDX60L,3,1.607,0.103,15.53,2.20858475201641e-54,2.678795878754e-52,19,0.0068,2.47,up
DKK2,2,-1.436,0.093,-15.52,2.50188454793349e-54,3.01889770013274e-52,0,0,0.94,down
RFC5,3,0.55,0.035,15.52,2.70906796064544e-54,3.25213189183329e-52,0,0,1.49,up
TJP3,3,-1.092,0.07,-15.51,2.86554565871445e-54,3.42242644514523e-52,0,0,0.75,down
CTD-2132N18.2,2,-1.065,0.069,-15.49,4.13243807562046e-54,4.91046918336037e-52,0,0,0.82,down
OCRL,3,-0.414,0.027,-15.47,5.93723870516475e-54,7.01943539642432e-52,0.5,0,2.01,down
ADAP2,3,1.934,0.125,15.46,6.09879384707027e-54,7.17420427970191e-52,66.8,0.0253,6.03,up
FLVCR2,3,1.54,0.1,15.45,7.26727543254466e-54,8.50598253002189e-52,56.5,0.0146,4.6,up
CCDC113,3,-0.644,0.042,-15.43,1.01489864898726e-53,1.18197823254442e-51,0,0,1.12,down
CHL1,3,-1.295,0.084,-15.4,1.68227668592745e-53,1.94952549212255e-51,0,0,1.89,down
PCP4,2,-2.258,0.147,-15.4,1.76218751520814e-53,2.03207130756193e-51,0,0,0.7,down
PLA2R1,3,-0.992,0.065,-15.37,2.65444582813315e-53,3.04597658778279e-51,0,0,0.97,down
SLC16A11,2,-1.401,0.092,-15.29,9.48683070512818e-53,1.08330351207973e-50,0,0,0.21,down
RP11-482G13.1,2,2.37,0.155,15.26,1.37073200096425e-52,1.55059241664518e-50,0,0,0.39,up
LINC01229,2,-2.612,0.171,-15.26,1.37115054143941e-52,1.55059241664518e-50,0,0,0.11,down
AKR1B15,2,5.299,0.348,15.22,2.54174427647557e-52,2.86056210423157e-50,40.7,0.1288,1.69,up
WDFY4,2,1.035,0.068,15.22,2.58887492438626e-52,2.89966378492622e-50,0,0,0.83,up
LTB,2,1.446,0.095,15.19,4.39451974788398e-52,4.89863394181981e-50,0,0,0.02,up
INHBB,2,-1.095,0.072,-15.18,4.51744577190853e-52,5.01179564334629e-50,0,0,0.56,down
AMPH,2,-1.428,0.094,-15.18,4.53950929380655e-52,5.01251759710932e-50,0,0,0.48,down
