gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
RP11-383G6.4,3,-0.074,0.11,-0.67,0.500149867701409,0.582893968586194,43.7,0.0164,3.55,down
ZNF232,3,-0.055,0.082,-0.67,0.500242088450364,0.582962531344757,40.9,0.0082,3.39,down
COL12A1,3,-0.278,0.413,-0.67,0.500258504406574,0.582962531344757,94.8,0.4436,38.42,down
EEF1DP1,3,0.044,0.066,0.67,0.500383089484552,0.583078686930354,41.7,0.0056,3.43,up
AC013463.2,2,0.175,0.259,0.67,0.500494846805621,0.583156437456797,81.4,0.1105,5.38,up
PPIAP16,2,0.152,0.225,0.67,0.500499636248644,0.583156437456797,78.6,0.081,4.67,up
RP11-596C23.6,2,-0.126,0.188,-0.67,0.500669358074904,0.583325154448309,76.9,0.0545,4.32,down
AC007919.18,2,0.631,0.937,0.67,0.500992605864188,0.583672717397839,95.3,1.674,21.19,up
RP11-334C17.3,2,0.124,0.184,0.67,0.501278730666624,0.583976998416194,48.4,0.0343,1.94,up
RPAP2P1,2,-0.43,0.639,-0.67,0.50134248245776,0.584022203127828,87.1,0.7118,7.75,down
RP11-20I23.2,3,0.145,0.216,0.67,0.501975353547867,0.584723570949487,76.1,0.0982,8.38,up
RP11-540B6.2,2,0.171,0.255,0.67,0.501997507756179,0.584723570949487,78.8,0.1029,4.71,up
GCN1,3,0.053,0.079,0.67,0.502019493739279,0.584723570949487,72.8,0.0115,7.36,up
PPP1R3F,3,0.045,0.067,0.67,0.502327231313605,0.585052896055534,22.5,0.0034,2.58,up
NSUN4,3,0.067,0.1,0.67,0.502364143943628,0.585066778386884,85.9,0.0227,14.17,up
MT1P3,3,0.114,0.17,0.67,0.502669797343082,0.585393626486454,41.1,0.038,3.4,up
PIKFYVE,3,-0.081,0.121,-0.67,0.502903108535239,0.585636198771336,90.5,0.0385,21.15,down
SYNRG,3,0.101,0.15,0.67,0.503187689132358,0.585938447739111,92.6,0.0541,27.02,up
RP11-213G2.1,2,-0.251,0.375,-0.67,0.503269386194382,0.586004430035032,68.5,0.2031,3.17,down
PEX14,3,0.065,0.097,0.67,0.503297039058477,0.586007480095494,79.5,0.0221,9.78,up
GAA,3,-0.108,0.161,-0.67,0.503451113149081,0.586157719472139,76.2,0.0492,8.42,down
HILS1,2,-0.92,1.375,-0.67,0.503577120365858,0.586275267849224,85.9,3.2828,7.11,down
GPR108,3,0.132,0.197,0.67,0.503641079672366,0.586320570621166,96,0.1073,50.11,up
PTPMT1,3,0.079,0.118,0.67,0.503761952658635,0.586432122422099,92.2,0.0364,25.53,up
YTHDF3,3,-0.036,0.055,-0.67,0.503804051708272,0.586451966506163,57.6,0.0049,4.72,down
MTND6P3,2,-0.12,0.179,-0.67,0.503971725088027,0.58661797586324,0,0,0.19,down
HOXB7,3,0.323,0.484,0.67,0.504027116034629,0.586653279596988,90.2,0.6145,20.33,up
RP1-59D14.5,3,-0.115,0.173,-0.67,0.504478620464841,0.587149606048897,82.4,0.0724,11.37,down
ATP6V0A2,3,0.02,0.029,0.67,0.504508073742418,0.587154693160796,0,0,1.72,up
AC092597.3,3,0.167,0.25,0.67,0.504581851049067,0.587211362227571,95,0.1727,40.02,up
FKBP1AP1,2,0.201,0.301,0.67,0.504948170906386,0.587608457583396,85.4,0.1573,6.85,up
FBXW2,3,-0.059,0.088,-0.67,0.505042301434826,0.587688782337716,90.5,0.0201,21.09,down
RP5-968P14.2,2,-0.047,0.07,-0.67,0.505129180677853,0.58776066162083,0,0,0.87,down
RP5-1180D12.1,3,-0.275,0.412,-0.67,0.505280497519746,0.58790324551246,72.2,0.3481,7.2,down
METTL21B,3,-0.102,0.153,-0.67,0.505301947956371,0.58790324551246,90.8,0.0575,21.63,down
COBLL1,3,0.073,0.11,0.67,0.505468591606216,0.588067902236962,76.7,0.024,8.57,up
STYX,3,0.067,0.1,0.67,0.505665143716439,0.588220144522159,81.7,0.0239,10.94,up
GS1-259H13.13,3,-0.025,0.037,-0.67,0.505699710352166,0.588220144522159,0,0,1.04,down
CTD-2501B8.1,2,-0.171,0.257,-0.67,0.505703441886766,0.588220144522159,84.9,0.1132,6.63,down
CALM2P3,3,-0.046,0.07,-0.67,0.505716991925435,0.588220144522159,26,0.0041,2.7,down
RP11-557J10.4,3,-0.052,0.078,-0.67,0.505725089865136,0.588220144522159,0,0,1.06,down
RP11-1055B8.8,3,-0.1,0.151,-0.67,0.505846723252931,0.588332386576632,39.6,0.0277,3.31,down
MAPK9,3,-0.055,0.083,-0.67,0.505940840530091,0.588412616055689,87.1,0.0147,15.5,down
AC141586.5,3,0.161,0.242,0.67,0.505989489375342,0.588439960096745,93.6,0.1607,31.44,up
RP11-343B5.1,3,-0.048,0.072,-0.67,0.506026444178279,0.588448504605402,0,0,0.16,down
EPS8L2,3,0.113,0.171,0.67,0.506047112059949,0.588448504605402,92.5,0.0771,26.59,up
HECTD3,3,-0.048,0.073,-0.66,0.506230757885394,0.588632813994595,72.1,0.0102,7.18,down
RP9,3,0.047,0.071,0.66,0.506293754419087,0.588676823980351,62.3,0.0085,5.31,up
PARGP1,3,-0.125,0.188,-0.66,0.506462419275537,0.58884368594522,91.5,0.0947,23.39,down
ZNF592,3,-0.099,0.149,-0.66,0.506521553569365,0.588883190837112,93.7,0.0582,31.81,down
TTTY14,3,0.305,0.459,0.66,0.506775685411958,0.589149385171261,0,0,0.34,up
ADO,3,0.042,0.064,0.66,0.506892631373715,0.589256076268922,68.7,0.0075,6.4,up
CLPTM1L,3,0.052,0.078,0.66,0.506936585031885,0.589277908382729,75.3,0.0114,8.1,up
SLC25A1,3,-0.076,0.114,-0.66,0.50707271293863,0.589406879049625,74.3,0.026,7.79,down
KRT127P,2,0.821,1.237,0.66,0.507145326306048,0.589462013083331,95.6,2.9293,22.6,up
RP11-30L15.4,3,-0.181,0.274,-0.66,0.507696288714702,0.590058434742731,70.2,0.1562,6.72,down
SRRM5,3,0.122,0.185,0.66,0.507708872339189,0.590058434742731,89.3,0.0893,18.75,up
ACOT9,3,-0.075,0.113,-0.66,0.507853700313443,0.590169396529408,76.9,0.0246,8.67,down
MYOF,3,0.022,0.033,0.66,0.507854770545021,0.590169396529408,0,0,1.5,up
AC092641.2,3,-0.132,0.199,-0.66,0.507881097374705,0.590170692898707,83,0.0942,11.73,down
ADD1,3,-0.064,0.096,-0.66,0.508006220416251,0.590286787140078,93.5,0.0239,30.9,down
SEMA3F-AS1,3,-0.042,0.064,-0.66,0.50817379426004,0.590452193866743,30.2,0.0038,2.87,down
FAIM2,2,0.469,0.709,0.66,0.508386896241803,0.59067048114574,93,0.9391,14.36,up
PRRC2A,3,-0.086,0.13,-0.66,0.508431167140732,0.590686360529971,86.5,0.0398,14.85,down
XPO7,3,0.063,0.095,0.66,0.508451030145624,0.590686360529971,90.8,0.0225,21.64,up
POLRMTP1,3,-0.035,0.053,-0.66,0.50848730649388,0.590699189008746,0,0,0.4,down
C12orf76,3,-0.05,0.076,-0.66,0.508611861287093,0.59081456236947,82.3,0.0126,11.28,down
PPP1R15A,3,0.028,0.042,0.66,0.508738026168374,0.590931794500841,0,0,0.34,up
RP11-732A19.9,3,-0.172,0.26,-0.66,0.508870016178022,0.591055780922463,92.1,0.1791,25.39,down
C19orf60,3,-0.042,0.063,-0.66,0.50903913074141,0.591222873308145,35.4,0.0043,3.1,down
PPP1R14BP2,2,0.133,0.202,0.66,0.509071832910257,0.591231520966274,57.6,0.0531,2.36,up
CDCP1,3,0.196,0.296,0.66,0.509199222155436,0.591350131043142,97.5,0.2193,78.49,up
DERL3,3,0.231,0.349,0.66,0.509343481162512,0.591488319800241,83.5,0.28,12.12,up
MIR3615,3,0.117,0.178,0.66,0.509489739302762,0.591628816277512,64.1,0.0604,5.58,up
RAD17,3,-0.02,0.03,-0.66,0.509686189514766,0.591798882694599,0,0,0.9,down
MOB3B,3,-0.098,0.148,-0.66,0.509686756119689,0.591798882694599,86.7,0.0457,15.05,down
RP11-324J13.1,2,-0.066,0.101,-0.66,0.509813245083582,0.591916389949488,0,0,0.29,down
CALN1,2,-0.163,0.248,-0.66,0.510234323863225,0.5923759007744,83.7,0.1039,6.14,down
GS1-21A4.1,2,-0.066,0.1,-0.66,0.51045698144124,0.592605012822753,0,0,0.18,down
RP11-961A15.3,3,0.055,0.083,0.66,0.510598055186256,0.592739393694772,0,0,1.66,up
AMH,2,0.366,0.556,0.66,0.51067392074827,0.592798066587139,55.3,0.3625,2.24,up
LGALSL,3,-0.144,0.219,-0.66,0.510809577121698,0.592926136303953,90.7,0.0966,21.51,down
SEMA3F,3,-0.071,0.109,-0.66,0.510945731117551,0.593054770910887,74.7,0.0237,7.89,down
RP3-468K18.6,3,-0.127,0.194,-0.66,0.510975353379541,0.593059747496736,62.4,0.0679,5.32,down
MAPK11,3,0.177,0.27,0.66,0.511149629655558,0.593203009958908,92.3,0.1858,26.13,up
DUX4L50,3,0.073,0.11,0.66,0.511177179998804,0.593203009958908,28.7,0.0115,2.81,up
RPSAP9,3,0.031,0.047,0.66,0.511190458265542,0.593203009958908,0,0,0.33,up
SYT7,3,-0.312,0.475,-0.66,0.511200150365289,0.593203009958908,92.5,0.5464,26.8,down
DNAH3,3,-0.115,0.175,-0.66,0.511254387179169,0.593236539579516,81.8,0.0582,10.98,down
CA12,3,0.079,0.12,0.66,0.511295843430225,0.593251905412198,89.6,0.0285,19.3,up
GTF2IP4,3,-0.066,0.101,-0.66,0.51131831533156,0.593251905412198,85.9,0.0238,14.15,down
RP11-62H7.3,2,-0.235,0.357,-0.66,0.511589966463163,0.593526851356276,75.7,0.2001,4.12,down
RP11-4B16.4,2,-0.297,0.452,-0.66,0.511605997977997,0.593526851356276,89.6,0.3667,9.66,down
NDUFA9P1,3,0.14,0.213,0.66,0.51201635213501,0.593973476739603,78.9,0.1044,9.49,up
GPR156,3,-0.163,0.248,-0.66,0.512367630658059,0.594351529537884,65.3,0.1128,5.77,down
AL136419.6,3,-0.058,0.088,-0.66,0.512411694743874,0.594373190736799,83.4,0.0159,12.08,down
GTF2IRD1P1,3,0.035,0.053,0.65,0.512584271317057,0.594543910774997,34.9,0.0031,3.07,up
AC006942.4,3,-0.153,0.234,-0.65,0.512703804975777,0.59465309273537,73.5,0.1158,7.54,down
PRKCZ,3,-0.05,0.077,-0.65,0.513153174241748,0.595144800625499,62.5,0.0104,5.34,down
RP11-333E13.4,3,0.221,0.338,0.65,0.513208709398191,0.595158431848212,92.2,0.2997,25.71,up
SIGLEC1,2,-0.233,0.356,-0.65,0.513215776209492,0.595158431848212,91,0.2309,11.1,down
RBBP4P4,2,0.042,0.064,0.65,0.513280011734901,0.595197642052925,0,0,0.18,up
TP53INP1,3,-0.03,0.047,-0.65,0.51330043990621,0.595197642052925,0,0,0.57,down
ATP5F1P7,2,0.19,0.292,0.65,0.51366254733003,0.595588021717206,88.2,0.1512,8.49,up
FAM86JP,3,0.106,0.162,0.65,0.513757547047995,0.595668668590714,74.3,0.052,7.77,up
CUTC,3,0.126,0.194,0.65,0.514033693665898,0.595959325195632,95.8,0.1032,47.86,up
XRRA1,3,-0.043,0.067,-0.65,0.514059623815347,0.5959598719242,54.2,0.0068,4.37,down
SENP1,3,0.065,0.099,0.65,0.514128915228879,0.596010685712516,87.7,0.0225,16.3,up
UCP2,3,0.131,0.2,0.65,0.514243448698009,0.596113939317208,76.3,0.0718,8.46,up
RP3-395M20.8,3,-0.044,0.068,-0.65,0.514289624619612,0.596122749405996,0,0,0.41,down
UBE2W,3,-0.091,0.139,-0.65,0.514301979879683,0.596122749405996,91,0.0514,22.27,down
RP11-173P15.3,3,-0.048,0.073,-0.65,0.514550162282933,0.59638088571972,53.5,0.0078,4.3,down
SLC35A5,3,-0.043,0.066,-0.65,0.514596694567055,0.59640528879692,64.5,0.0081,5.64,down
MORC2,3,0.056,0.086,0.65,0.51476579698949,0.59656297711842,80,0.0159,10.01,up
IMPDH1P5,3,0.174,0.267,0.65,0.514783721551202,0.59656297711842,88.1,0.1857,16.83,up
TGFBRAP1,3,-0.031,0.048,-0.65,0.514848286310456,0.596588994344754,43.9,0.003,3.56,down
CEP162,3,-0.09,0.139,-0.65,0.514857143139507,0.596588994344754,82.7,0.0449,11.58,down
KLHL41,3,-0.155,0.238,-0.65,0.515191260541617,0.596946602881687,72.7,0.1114,7.32,down
PTHLH,3,-0.283,0.435,-0.65,0.515267710524191,0.596977274550398,72.8,0.3433,7.34,down
KPRP,3,-0.053,0.082,-0.65,0.51526873562693,0.596977274550398,0,0,0.99,down
SYMPK,3,0.053,0.082,0.65,0.515350119026567,0.597042014069728,67.4,0.0127,6.13,up
HP,2,0.278,0.428,0.65,0.51547913421304,0.597161926698325,80.5,0.2949,5.12,up
C11orf24,3,0.091,0.139,0.65,0.515611838241626,0.597286100623427,86.5,0.0464,14.81,up
MPP4,2,-0.326,0.502,-0.65,0.515983245560014,0.597686763091413,66.4,0.3475,2.98,down
SFT2D3,3,0.021,0.032,0.65,0.516341172004744,0.598071771175608,0,0,1.01,up
ZNF644,3,-0.082,0.126,-0.65,0.516409609039975,0.598121445649239,89.3,0.0411,18.62,down
RP1-67K17.3,3,-0.085,0.13,-0.65,0.516570855826532,0.598278604989278,67.4,0.0297,6.14,down
LIN37,3,-0.031,0.048,-0.65,0.516607724800326,0.598291704836038,0,0,0.82,down
FAM198B,3,-0.102,0.158,-0.65,0.516680448824837,0.598346325642654,65.3,0.041,5.76,down
HOXD11,2,0.931,1.435,0.65,0.516788582711174,0.598441945717827,98.2,4.046,54.81,up
FAM109B,3,0.031,0.048,0.65,0.517029037524723,0.598690776583708,14.6,0.0012,2.34,up
MAP3K20-AS1,3,0.075,0.116,0.65,0.517251546760721,0.598918803883945,77.5,0.0275,8.89,up
MIR4707,3,0.054,0.084,0.65,0.517609009483631,0.59924182826443,0,0,0.42,up
COG7,3,0.052,0.08,0.65,0.517617133543811,0.59924182826443,83.2,0.014,11.88,up
BTF3P12,3,0.134,0.207,0.65,0.517629013608074,0.59924182826443,84.1,0.1057,12.55,up
BTF3P8,2,0.086,0.132,0.65,0.517632919361572,0.59924182826443,63.2,0.023,2.71,up
NFYC-AS1,3,-0.037,0.057,-0.65,0.517796790949763,0.599401892955345,0,0,1.39,down
TUSC1,3,0.058,0.09,0.65,0.517882622990026,0.599471607653341,67.3,0.014,6.12,up
NAP1L4P1,3,0.116,0.179,0.65,0.518193227721339,0.599801486735009,82.4,0.0785,11.37,up
EEFSEC,3,0.031,0.048,0.65,0.518680692125024,0.600336035696152,0,0,1.84,up
SOX21,3,-0.051,0.079,-0.65,0.518766772447293,0.600405981223113,39.2,0.0071,3.29,down
SNX19P3,2,-0.063,0.097,-0.64,0.519111532783754,0.600775293960295,0,0,0.19,down
TMEM102,3,0.1,0.156,0.64,0.520200163064826,0.602005419081694,87.8,0.0605,16.43,up
RP11-252A24.2,3,-0.111,0.173,-0.64,0.520312082123758,0.60210517229893,80.4,0.0647,10.21,down
RP11-58A11.2,2,-0.205,0.32,-0.64,0.520347115393407,0.602115947812371,81.7,0.1678,5.47,down
LRRC15,2,-0.22,0.343,-0.64,0.520918140712154,0.602746910974782,79.1,0.1895,4.79,down
SREBF2,3,0.108,0.168,0.64,0.521048236983979,0.602867644303972,93.7,0.0763,31.85,up
CSNK1G1,3,0.104,0.163,0.64,0.521253608948277,0.603075457513478,95.5,0.0684,44.48,up
GVQW1,3,0.05,0.079,0.64,0.521314148569166,0.603115691601048,0,0,1.11,up
ARPC3P2,2,0.226,0.353,0.64,0.521370610209185,0.6031512040715,91.2,0.2276,11.38,up
RP11-606P2.1,2,0.311,0.484,0.64,0.521501660656638,0.603272997346869,97.8,0.4592,45.57,up
CUX1,3,0.1,0.155,0.64,0.521583503597289,0.603337858166178,93.4,0.0551,30.15,up
C3orf67,3,-0.128,0.2,-0.64,0.521769907418384,0.603523656624022,74.7,0.0752,7.92,down
TMEM14DP,3,-0.092,0.144,-0.64,0.521915177460331,0.603661860228712,84.2,0.0501,12.66,down
RPS27AP12,3,-0.057,0.09,-0.64,0.521942624467333,0.603663779454338,0,0,0.53,down
FAF2,3,0.019,0.029,0.64,0.522223671716944,0.603958990722886,25.8,7e-04,2.69,up
C7orf43,3,-0.1,0.156,-0.64,0.52225910835652,0.603970134745468,84.9,0.0606,13.22,down
AHCTF1,3,-0.079,0.123,-0.64,0.522416378968496,0.604122166441413,87.7,0.0334,16.24,down
RP11-274J2.1,2,0.315,0.492,0.64,0.522492803673779,0.604180697549867,86,0.4211,7.16,up
RP11-366M4.17,2,-0.132,0.206,-0.64,0.522685271632627,0.604373402007813,74.3,0.0656,3.89,down
FAM64A,3,0.2,0.314,0.64,0.522777516521939,0.604450206671049,95.7,0.2345,46.02,up
DICER1-AS1,3,-0.121,0.189,-0.64,0.52291678213226,0.60458136775493,69.7,0.0689,6.61,down
AC009404.2,3,-0.158,0.247,-0.64,0.523064596807432,0.604722399578486,82.2,0.1353,11.24,down
RP1-37N7.1,3,-0.057,0.089,-0.64,0.523260944470207,0.604919524376664,0,0,1.2,down
PROS1,3,-0.06,0.094,-0.64,0.523376196542684,0.605022883203343,69.4,0.0145,6.54,down
ARHGAP23,3,-0.098,0.154,-0.64,0.52355415088419,0.605198712065972,85.9,0.0507,14.23,down
CCDC163,3,0.113,0.178,0.64,0.524117127348528,0.605819565183769,54.8,0.0522,4.42,up
RPL23AP75,2,-0.117,0.184,-0.64,0.524298596322861,0.605999399660389,64.8,0.0441,2.84,down
MGAT4B,3,0.035,0.054,0.64,0.524361762781238,0.606042485679174,53.2,0.0044,4.27,up
TMEM198,3,0.144,0.227,0.64,0.524582952078228,0.606265304871567,78.9,0.1196,9.46,up
ROCK1,3,0.035,0.056,0.64,0.524606348647036,0.606265304871567,45.5,0.0041,3.67,up
FBXO43,2,-0.441,0.694,-0.64,0.524862582993186,0.606531480736906,66.3,0.6699,2.96,down
CMIP,3,0.094,0.149,0.64,0.524961398730722,0.606615726275421,88.3,0.0551,17.02,up
LSM3P3,3,0.11,0.173,0.64,0.525175516509491,0.606816486139543,49.1,0.045,3.93,up
LRRC8E,3,-0.08,0.126,-0.64,0.525206986188823,0.606816486139543,82.9,0.0375,11.67,down
TOMM20P1,2,-0.185,0.292,-0.64,0.5252163301487,0.606816486139543,92.2,0.1571,12.77,down
FAM122B,3,0.064,0.101,0.64,0.525238824476032,0.606816486139543,70.7,0.0199,6.82,up
MAML1,3,-0.091,0.143,-0.64,0.525293541339201,0.60684975123177,94.6,0.057,37.24,down
RCC2P6,3,0.147,0.232,0.63,0.526015600091536,0.60765392728695,87.3,0.1332,15.7,up
TMED1,3,0.08,0.126,0.63,0.526155959610635,0.607786077400708,86.2,0.0411,14.47,up
MT-TS1,3,-0.169,0.267,-0.63,0.526214173597941,0.607823329209228,91.5,0.1824,23.42,down
MAPRE1P1,2,0.113,0.178,0.63,0.526321713199964,0.607888012431184,73.9,0.0482,3.83,up
KCNS1,3,-0.128,0.203,-0.63,0.526322108417926,0.607888012431184,81.9,0.0938,11.05,down
RP11-319G9.3,2,-0.282,0.446,-0.63,0.526533483466742,0.608102141914893,83.2,0.334,5.96,down
PPP1R12B,3,-0.22,0.348,-0.63,0.526614962712413,0.608166238881839,95.2,0.2769,41.61,down
CLCC1,3,-0.02,0.031,-0.63,0.52677256030892,0.608318231181072,0,0,0.07,down
RP11-16E18.3,3,-0.164,0.259,-0.63,0.526972121869127,0.60851866618165,73.4,0.1324,7.52,down
PTCD2,3,-0.065,0.103,-0.63,0.527360865455836,0.608937527719413,83,0.0237,11.76,down
ARSD-AS1,3,-0.092,0.146,-0.63,0.527494249529426,0.609061501787231,71.4,0.0397,7,down
MRI1,3,-0.03,0.048,-0.63,0.527670799679161,0.609235302080862,1.8,2e-04,2.04,down
RP11-31F19.1,2,-0.213,0.338,-0.63,0.52779018808278,0.609343090985885,58.3,0.1332,2.4,down
RRM2P3,3,0.353,0.56,0.63,0.527816753544468,0.60934370881898,95.4,0.8386,43.6,up
NDUFC2-KCTD14,3,0.07,0.111,0.63,0.528184138839346,0.609737770297379,79.6,0.0293,9.83,up
KCTD2,3,0.045,0.072,0.63,0.52822207411981,0.609751493321694,75.2,0.0094,8.07,up
SCOC,3,0.046,0.073,0.63,0.528269530397961,0.609776204984511,52,0.0081,4.17,up
ADCK1,3,0.037,0.058,0.63,0.528341140714279,0.609828793598962,7.5,9e-04,2.16,up
NACAP1,3,-0.039,0.063,-0.63,0.528441988623051,0.609915122358594,0,0,0.01,down
BAZ2B,3,-0.102,0.162,-0.63,0.52857173665238,0.60999403300439,92.9,0.0702,28.1,down
CDC5L,3,0.02,0.032,0.63,0.528573473641346,0.60999403300439,0,0,1.63,up
ANGPT2,3,0.042,0.067,0.63,0.528588532594047,0.60999403300439,0,0,0.45,up
EPB41L4A-AS1,3,-0.102,0.161,-0.63,0.528778186828105,0.610181103832452,94,0.0637,33.36,down
PDZD8,3,0.052,0.082,0.63,0.528802770449355,0.610181103832452,70.7,0.0126,6.82,up
RP3-467N11.1,3,0.208,0.33,0.63,0.52886091055019,0.610218111941513,90.1,0.2503,20.16,up
PEMT,3,0.068,0.107,0.63,0.528985464717556,0.610331743485301,77.4,0.0261,8.87,up
MMP19,3,-0.229,0.364,-0.63,0.529082300980564,0.610413385098769,95.9,0.3093,48.67,down
SNORD16,2,0.254,0.403,0.63,0.52911609275252,0.610422286493703,55,0.2054,2.22,up
KRT33A,2,-0.467,0.743,-0.63,0.529463952897564,0.610793498589546,71.2,0.8146,3.47,down
FGF2,3,-0.146,0.232,-0.63,0.529633516831425,0.6109590004192,82.6,0.122,11.49,down
GALC,3,-0.049,0.077,-0.63,0.52978308953339,0.611101426179517,67,0.0102,6.07,down
RTKN2,3,0.169,0.269,0.63,0.530115977996225,0.611455281050191,81.9,0.1581,11.04,up
C15orf52,3,0.076,0.121,0.63,0.530163034916707,0.611479428673886,60.1,0.0248,5.01,up
GABARAPL2,3,-0.022,0.035,-0.63,0.530245895788636,0.611544867444262,0,0,0.33,down
MKS1,3,0.033,0.053,0.63,0.530495913903854,0.61180307658761,49.3,0.0041,3.95,up
RNF113A,3,0.034,0.054,0.63,0.530825212067551,0.612152686796852,41.7,0.0037,3.43,up
MTF2,3,0.077,0.122,0.63,0.530988257666132,0.612287360303456,90.5,0.0361,20.94,up
NEB,3,-0.099,0.158,-0.63,0.53100734934136,0.612287360303456,30.9,0.0237,2.89,down
AAK1,3,0.098,0.156,0.63,0.531020461740389,0.612287360303456,92,0.0644,25.02,up
RP11-667K14.8,3,0.126,0.201,0.63,0.531199344650057,0.612463451653115,65.9,0.0782,5.87,up
RNF121,3,0.047,0.075,0.63,0.531316423406484,0.612568270071039,78.2,0.0118,9.19,up
RP11-96K19.4,2,-0.286,0.457,-0.63,0.531841444964122,0.613143382672501,90.5,0.3784,10.51,down
RP11-193F5.4,3,0.085,0.136,0.63,0.531929916758609,0.613215178833955,70.9,0.0386,6.87,up
RPS6KA2,3,-0.043,0.068,-0.62,0.532037961362325,0.613309530582098,50.6,0.0065,4.05,down
RP11-671M22.4,3,0.102,0.164,0.62,0.532098031110643,0.613319541804506,62.2,0.0481,5.29,up
C5orf63,3,-0.041,0.065,-0.62,0.532099046285946,0.613319541804506,9.8,0.0016,2.22,down
PALLD,3,0.197,0.315,0.62,0.532268315391108,0.613484440915335,97.1,0.2801,69.46,up
API5P2,2,-0.059,0.095,-0.62,0.532391181018774,0.613595842472969,0,0,0.56,down
ACTR8,3,0.067,0.108,0.62,0.532503498407702,0.613695076517621,91.6,0.0291,23.94,up
RP11-386I14.3,3,-0.139,0.223,-0.62,0.532633947710121,0.613815196275598,76.7,0.1047,8.58,down
G0S2,3,0.469,0.752,0.62,0.532717190444346,0.61388090534172,85.5,1.3343,13.84,up
MYLIP,3,0.086,0.137,0.62,0.533048508062644,0.61423246493913,87.8,0.0358,16.39,up
SMIM3,3,0.194,0.311,0.62,0.533157735855782,0.614328088139792,91,0.2519,22.25,up
RPS12P23,3,0.042,0.067,0.62,0.533289079551605,0.614449183601099,0,0,0.2,up
RP11-490O6.2,3,-0.076,0.121,-0.62,0.533416259190778,0.614565469603156,25.6,0.0119,2.69,down
TMEM265,3,0.064,0.103,0.62,0.533474834992987,0.61460270743397,63.5,0.0174,5.49,up
RP11-137J7.3,3,0.081,0.13,0.62,0.5336105559107,0.614728814139448,60.3,0.0307,5.04,up
TRAF5,3,-0.116,0.186,-0.62,0.533795840674908,0.614912004052897,84.4,0.0782,12.8,down
NRM,3,-0.046,0.075,-0.62,0.534943622464778,0.616203880438834,40.9,0.0069,3.39,down
RP4-604A21.1,3,0.067,0.108,0.62,0.535368115111824,0.616662510783481,58.6,0.0205,4.83,up
USP8,3,0.057,0.093,0.62,0.535449406788825,0.616725800212538,87.7,0.0211,16.31,up
RP11-645C24.5,2,-0.205,0.33,-0.62,0.535558386299078,0.616811569662337,34.9,0.107,1.54,down
ATP5LP2,2,0.206,0.333,0.62,0.535576571615902,0.616811569662337,86.9,0.1956,7.65,up
RP11-114H7.2,2,0.171,0.276,0.62,0.535696972990115,0.616919881966134,74.6,0.1163,3.93,up
TLK2,3,0.016,0.025,0.62,0.536014727612153,0.617255448576982,8.5,2e-04,2.19,up
EID3,3,0.269,0.436,0.62,0.536380896329022,0.61764673137715,96.9,0.4579,65.09,up
MAP3K20,3,-0.068,0.11,-0.62,0.536423765107248,0.617665711627918,84,0.0278,12.54,down
MIR4315-1,3,-0.096,0.155,-0.62,0.536523595158462,0.617750274903567,66.1,0.0427,5.9,down
KB-1396H2.2,2,-0.056,0.091,-0.62,0.536576161979012,0.617780413917307,0,0,0.75,down
ZNHIT1,3,0.046,0.075,0.62,0.536990137088465,0.618226632523675,74.3,0.0122,7.78,up
RP11-157J24.1,2,-0.203,0.328,-0.62,0.537202578303761,0.618426541696809,66.9,0.156,3.02,down
SSR2,3,0.075,0.121,0.62,0.537216614353651,0.618426541696809,94.2,0.0399,34.56,up
RP11-1012A1.4,3,-0.08,0.13,-0.62,0.537439971233289,0.618624265440148,87.5,0.0392,16.02,down
ZNF697,3,0.031,0.05,0.62,0.537441227145811,0.618624265440148,0,0,0.3,up
PCSK1,2,0.889,1.442,0.62,0.537475770166156,0.61863360722881,98.7,4.1078,79.04,up
RPSAP61,3,-0.045,0.074,-0.62,0.537662841620389,0.618818499409591,0,0,0.24,down
RP11-330M2.4,2,0.143,0.232,0.62,0.537700920781819,0.618831900421908,80.5,0.0871,5.13,up
EBLN2,3,0.192,0.312,0.62,0.537762075414236,0.618871856023394,88,0.2424,16.69,up
RP11-603B24.2,2,0.219,0.356,0.62,0.538021624393781,0.619140114316882,72.5,0.1891,3.63,up
RP11-131O15.2,2,0.31,0.504,0.62,0.538333993845668,0.619469127559025,87.7,0.4489,8.15,up
ARL17A,3,-0.138,0.224,-0.62,0.53836986511604,0.61947995342614,88.7,0.1303,17.75,down
RP11-207C16.4,3,-0.111,0.18,-0.62,0.538410304872865,0.619496034739194,76.5,0.0645,8.52,down
CTD-2196E14.9,3,0.027,0.043,0.61,0.53871070969981,0.619811216129109,0,0,1.95,up
USP37,3,-0.079,0.128,-0.61,0.538750010146968,0.619825968817535,88.3,0.0415,17.09,down
IGFN1,2,0.1,0.163,0.61,0.538809685087705,0.619864159534996,0,0,0.03,up
PRRC1,3,-0.037,0.06,-0.61,0.539022406929569,0.620078407971609,61.6,0.0063,5.21,down
RP3-406A7.7,3,-0.115,0.187,-0.61,0.53905982268717,0.620090977360392,62.8,0.0584,5.38,down
NRIP2,3,-0.208,0.339,-0.61,0.539221975733302,0.620247026187454,91,0.2888,22.25,down
RP11-545A16.3,2,-0.638,1.04,-0.61,0.539435250799329,0.620461860552353,94.4,2.0458,17.76,down
