"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.22999602023208e-10,1.0633005861836,0.11,0.069,1.26487453749313e-05,"CARD10"
5.72729967523201e-10,-0.261570710891042,0.567,0.629,1.38514742645486e-05,"EIF3A"
5.85498639595e-10,-0.25216437363481,0.443,0.506,1.41602845986051e-05,"PRPF40A"
6.01313512799953e-10,-0.261644495647906,0.699,0.777,1.45427673070669e-05,"GPX4"
6.27346680517695e-10,-0.29924911066193,0.162,0.23,1.51723794683205e-05,"PRR7"
6.31341120359274e-10,-0.32705848267404,0.288,0.363,1.5268984995889e-05,"SLBP"
6.52213735461568e-10,-0.506721762693669,0.219,0.286,1.5773789192138e-05,"CMC2"
6.6367082195719e-10,-0.205703565388653,0.452,0.515,1.60508788290346e-05,"STOML2"
6.92079684288961e-10,-0.294619431142535,0.19,0.258,1.67379471645285e-05,"OGFRL1"
6.92303179930046e-10,-0.42732612538184,0.354,0.419,1.67433524066082e-05,"KDSR"
6.94135855544318e-10,-0.126084072182677,0.851,0.913,1.67876756663393e-05,"COX4I1"
7.24402453189637e-10,-0.167748693441996,0.211,0.294,1.75196733303914e-05,"DDR1"
7.28563774201024e-10,-0.641833172275676,0.118,0.178,1.76203148790518e-05,"PPRC1"
7.34575973673657e-10,-0.119033517987769,0.407,0.499,1.77657199232974e-05,"TKT"
7.97201687875107e-10,0.603193220686455,0.487,0.464,1.92803228212595e-05,"CD151"
8.00797231737985e-10,-0.616009197162598,0.15,0.213,1.93672810495832e-05,"HMGB3"
8.16716477364843e-10,-0.250959453736339,0.476,0.54,1.97522880050687e-05,"HRAS"
8.50308321099308e-10,-0.826605235848174,0.111,0.169,2.05647067457868e-05,"TWSG1"
8.58972726505902e-10,0.934416251088219,0.131,0.087,2.07742553905452e-05,"MAP3K3"
8.6772446660971e-10,-0.172265343127613,0.423,0.494,2.09859162249558e-05,"PRPF38B"
8.95283774952496e-10,0.718817310637638,0.211,0.158,2.16524380972261e-05,"PTPRK"
9.01640461486067e-10,-0.108373304002555,0.988,0.99,2.18061745610405e-05,"RPS12"
9.03716643382852e-10,-0.360889095664165,0.231,0.301,2.18563870202143e-05,"SOWAHC"
9.22426673169096e-10,-0.293926996633406,0.137,0.202,2.23088890905946e-05,"EXT1"
9.29767546600527e-10,-0.513150365290459,0.148,0.209,2.24864281145338e-05,"PPAN"
9.69477860728725e-10,-0.312380508670448,0.198,0.264,2.34468220617242e-05,"TMED5"
9.96468473236796e-10,-0.325425967840957,0.259,0.332,2.40995900252319e-05,"KCTD1"
1.00987046740137e-09,-0.356160914730151,0.155,0.222,2.44237172541022e-05,"PAK1IP1"
1.03906725687654e-09,-0.252066927002009,0.439,0.512,2.51298416075592e-05,"CCT8"
1.04859617043773e-09,-0.35569159392765,0.403,0.472,2.53602983820366e-05,"IDI1"
1.05393497695448e-09,-0.219378244667804,0.593,0.651,2.54894174176441e-05,"SNRPG"
1.08576709745844e-09,-0.295354072838033,0.193,0.266,2.62592772520324e-05,"PAICS"
1.11682392810892e-09,-0.155285955205033,0.671,0.74,2.70103867013142e-05,"SF3B6"
1.11690129112665e-09,-0.264183178187916,0.247,0.32,2.70122577258981e-05,"NMU"
1.12002900716076e-09,0.635590933647761,0.335,0.276,2.70879015381829e-05,"MAP3K11"
1.14309831469315e-09,-0.563760373876045,0.098,0.155,2.76458327408539e-05,"LINC03125"
1.16219507954992e-09,0.445782956955848,0.277,0.216,2.81076879989148e-05,"CCND3"
1.16909929711873e-09,-0.525829231965029,0.164,0.226,2.82746665008165e-05,"KAZN"
1.26155382190163e-09,-1.28313962995445,0.119,0.173,3.05106791826909e-05,"GAS1"
1.26362560371973e-09,-1.37375029768353,0.07,0.119,3.05607852259616e-05,"MGST1"
1.28842717261854e-09,1.07231662329817,0.11,0.07,3.11606111697794e-05,"LRG1"
1.2999362799767e-09,-0.192742077569133,0.514,0.577,3.14389589312364e-05,"PDCD5"
1.30673503255634e-09,-0.488991119735854,0.437,0.512,3.1603386762375e-05,"ANXA5"
1.31586710990071e-09,-0.336441004604171,0.344,0.413,3.18242460529486e-05,"BAG3"
1.33487886488243e-09,-0.686215275194358,0.085,0.138,3.22840453471816e-05,"UMPS"
1.36283427527865e-09,0.600332471039869,0.263,0.205,3.29601469476142e-05,"MOSPD3"
1.36637995113499e-09,-0.474281918019938,0.236,0.306,3.30458991181996e-05,"MED30"
1.3874052019526e-09,0.659015613582766,0.159,0.11,3.35543948092236e-05,"BCL2L1"
1.38821340630843e-09,-0.951160329339458,0.066,0.116,3.35739412315694e-05,"CXCR4"
1.40051368750968e-09,1.01431363978548,0.116,0.075,3.38714235324216e-05,"RAB11FIP5"
1.40598965544308e-09,-0.998904454859818,0.122,0.181,3.40038598168908e-05,"MFSD12"
1.44558518409717e-09,-0.158326280653919,0.819,0.862,3.496147767739e-05,"ZFAS1"
