"gene","k","dl_logFC","mf_logFC","dl_SE","mf_SE","dl_I2","mf_I2","dl_P","mf_P"
"AC006547.8",3,0.116795750616033,0.116795750616033,0.0675124644742035,0.0675124644742035,41.4528301384424,41.4528301384423,0.0836324265757118,0.0836324265757118
"RP1-40E16.12",3,0.0350195203513361,0.0350195203513361,0.102809096217646,0.102809096217646,0,0,0.733384647233809,0.733384647233809
"TIMM13",3,0.587327646079966,0.587327646079966,0.208681173059888,0.208681173059888,92.5825387648539,92.5825387648539,0.00488571950588187,0.00488571950588188
"RPS15AP5",3,-0.0224085374360988,-0.0224085374360988,0.0896081556766693,0.0896081556766693,0,0,0.802531265646971,0.802531265646971
"CLSTN3",3,-0.45977773679911,-0.459777736799109,0.163065449383976,0.163065449383976,60.7108599655501,60.7108599655501,0.00480850202921822,0.00480850202921823
"RP11-726G1.1",3,0.100348539655301,0.100348539655301,0.123448398440627,0.123448398440627,0,0,0.416287765633521,0.416287765633521
"HHIPL1",3,-0.322602991327698,-0.322602991327698,0.160484180230665,0.160484180230665,55.5626691938907,55.5626691938907,0.0444115467955405,0.0444115467955406
"ZBTB43",3,0.149587594698973,0.149587594698973,0.0781707067180456,0.0781707067180456,68.4280513989916,68.4280513989916,0.0556710718816545,0.0556710718816544
"GATA6",3,-1.48070347623284,-1.48070347623284,0.350611341085679,0.350611341085679,68.3989790522185,68.3989790522183,2.4085284119971e-05,2.40852841199707e-05
"IP6K2",3,-0.361525538536768,-0.361525538536768,0.0356304863144426,0.0356304863144426,0,0,3.4338095233053e-24,3.4338095233053e-24
"ZBTB1",3,-0.100478926944013,-0.100478926944013,0.0313132594242755,0.0313132594242755,0,0,0.00133276257738275,0.00133276257738275
"TRIP13",3,1.15428568175879,1.15428568175879,0.171595679648435,0.171595679648435,80.9024147981275,80.9024147981274,1.73463583187297e-11,1.73463583187279e-11
"RP4-791C19.1",3,-0.0561298254082361,-0.0561298254082361,0.17840112494752,0.17840112494752,83.9336043305759,83.9336043305759,0.753044814062818,0.753044814062818
"AP003068.12",3,0.323925339035233,0.323925339035233,0.351347648912565,0.351347648912565,90.1183385503746,90.1183385503746,0.356554101365787,0.356554101365787
