"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","fdr_BH"
1.91378699299132e-171,-0.571708494955437,0.307,0.502,4.62849384254952e-167,"NSG1",8.69050673517358e-170
1.14530933170654e-170,-0.395046697700276,0.421,0.605,2.76993061873226e-166,"PHLDA2",5.14935611413802e-169
9.35125604162539e-170,-1.05313245577426,0.167,0.331,2.2616012736671e-165,"FOSL1",4.1631425181393e-168
6.10037418985611e-169,0.590796284713065,0.243,0.128,1.4753754978167e-164,"HLA-DQB1",2.68949506758608e-167
9.40397715050399e-169,-0.824737870866416,0.397,0.572,2.27435187384939e-164,"APOE",4.10610194619602e-167
1.76266886812306e-168,1.59324178130819,0.119,0.043,4.26301465755563e-164,"GASK1B",7.6231231715684e-167
4.03748276629919e-168,-0.379793695288868,0.67,0.791,9.76465207029459e-164,"YWHAZ",1.72964238129855e-166
4.66926388541689e-168,-0.732521101352822,0.546,0.673,1.12926147068808e-163,"LY6D",1.98160068258674e-166
9.98454395309139e-168,-0.736187715381713,0.304,0.479,2.41476195505515e-163,"CKS2",4.19813093435074e-166
1.09180547219979e-166,-1.5434839614583,0.116,0.264,2.64053153451519e-162,"SERPINB2",4.54852169656812e-165
1.19043289723794e-166,-0.725289380868558,0.246,0.419,2.87906196196997e-162,"ZNF750",4.91432344214317e-165
3.68907400100957e-164,1.65691459211215,0.102,0.035,8.92202547144165e-160,"C2CD4B",1.50919685032292e-162
4.71237962756983e-164,1.08011259635544,0.112,0.039,1.13968901292776e-159,"HLA-DMB",1.91061749007095e-162
4.85671364221342e-164,-0.378445553366799,0.789,0.867,1.17459619436932e-159,"TXN",1.95171120790187e-162
3.66236795447055e-163,1.5170962516496,0.118,0.044,8.85743689788702e-159,"CCDC69",1.45884323519744e-161
8.62484906564816e-163,-0.717049151150669,0.231,0.395,2.08591974652701e-158,"DENND2C",3.40569040061811e-161
2.79527762955861e-161,-0.561356141226204,0.5,0.649,6.7603789470875e-157,"AQP3",1.09425480308842e-159
4.80983721437353e-161,1.54176401767395,0.3,0.186,1.16325913029624e-156,"GNG11",1.86679237525386e-159
7.1388100244054e-160,1.07327269577813,0.196,0.093,1.72652120440245e-155,"MEF2C",2.74723189159533e-158
7.13202760128201e-159,1.19985208722163,0.146,0.061,1.72488087537005e-154,"PLAAT3",2.72155775944719e-157
1.84355838508298e-158,-0.509765027949178,0.47,0.645,4.45864595432318e-154,"PRNP",6.97633218888484e-157
1.94451454704883e-158,-0.341204107730901,0.533,0.727,4.70280843203758e-154,"CEBPB",7.29755418028821e-157
8.56324039219788e-157,-0.607574843247229,0.306,0.481,2.07101968885306e-152,"IRF6",3.18735037876808e-155
3.05720085077707e-156,-0.531858364371081,0.515,0.702,7.39384025760434e-152,"CXCL14",1.12867878564054e-154
3.3160107569005e-156,1.85755081734831,0.124,0.049,8.01977201556385e-152,"RASA4",1.21435522960364e-154
2.63397146175095e-155,2.22839021958808,0.222,0.12,6.37025998024466e-151,"RBP7",9.56869152624885e-154
3.23802365616477e-155,1.31309052696919,0.184,0.088,7.83116021243451e-151,"COL15A1",1.1669734462416e-153
5.41877314719234e-152,1.51464253771092,0.106,0.038,1.31053028564847e-147,"TMEM255B",1.93753140640948e-150
